Foto,Clase,Confianza
119.jpg,zarcillo,0.7981
119.jpg,zarcillo,0.7495
119.jpg,zarcillo,0.7175
119.jpg,zarcillo,0.7118
119.jpg,zarcillo,0.6946
119.jpg,zarcillo,0.6941
119.jpg,zarcillo,0.6916
119.jpg,zarcillo,0.6808
119.jpg,zarcillo,0.6746
119.jpg,zarcillo,0.6564
119.jpg,zarcillo,0.6561
119.jpg,zarcillo,0.6526
119.jpg,zarcillo,0.6244
119.jpg,zarcillo,0.6228
119.jpg,zarcillo,0.6019
119.jpg,zarcillo,0.6017
119.jpg,zarcillo,0.5928
119.jpg,zarcillo,0.5843
119.jpg,zarcillo,0.5836
119.jpg,zarcillo,0.5833
119.jpg,zarcillo,0.5764
119.jpg,zarcillo,0.5762
119.jpg,zarcillo,0.5756
119.jpg,zarcillo,0.5663
119.jpg,zarcillo,0.5654
119.jpg,zarcillo,0.5619
119.jpg,zarcillo,0.5396
119.jpg,zarcillo,0.522
119.jpg,zarcillo,0.5165
119.jpg,zarcillo,0.5161
119.jpg,zarcillo,0.5128
119.jpg,zarcillo,0.5059
119.jpg,zarcillo,0.489
119.jpg,zarcillo,0.4822
119.jpg,zarcillo,0.4782
119.jpg,zarcillo,0.4716
119.jpg,zarcillo,0.4703
119.jpg,zarcillo,0.4649
119.jpg,zarcillo,0.4608
119.jpg,zarcillo,0.4574
119.jpg,zarcillo,0.4564
119.jpg,zarcillo,0.4449
119.jpg,pinguino adulto,0.4356
119.jpg,zarcillo,0.4348
119.jpg,zarcillo,0.4325
119.jpg,zarcillo,0.405
119.jpg,zarcillo,0.3962
119.jpg,zarcillo,0.3896
119.jpg,zarcillo,0.3883
119.jpg,zarcillo,0.3833
119.jpg,zarcillo,0.3801
119.jpg,zarcillo,0.3749
119.jpg,zarcillo,0.3726
119.jpg,zarcillo,0.3726
119.jpg,zarcillo,0.3601
119.jpg,zarcillo,0.3485
119.jpg,zarcillo,0.3414
119.jpg,zarcillo,0.3366
119.jpg,zarcillo,0.3251
119.jpg,zarcillo,0.3234
119.jpg,zarcillo,0.3131
119.jpg,zarcillo,0.3131
119.jpg,zarcillo,0.3071
119.jpg,zarcillo,0.3062
119.jpg,zarcillo,0.3042
119.jpg,zarcillo,0.2988
119.jpg,zarcillo,0.2988
119.jpg,zarcillo,0.2899
119.jpg,zarcillo,0.2863
119.jpg,zarcillo,0.286
119.jpg,zarcillo,0.2827
119.jpg,zarcillo,0.2768
119.jpg,zarcillo,0.2718
119.jpg,zarcillo,0.2687
119.jpg,zarcillo,0.2653
119.jpg,zarcillo,0.2606
119.jpg,zarcillo,0.2586
119.jpg,zarcillo,0.2507
124.jpg,zarcillo,0.7588
124.jpg,zarcillo,0.7507
124.jpg,zarcillo,0.7496
124.jpg,zarcillo,0.7021
124.jpg,zarcillo,0.6347
124.jpg,zarcillo,0.6294
124.jpg,zarcillo,0.5827
124.jpg,zarcillo,0.5629
124.jpg,zarcillo,0.5621
124.jpg,zarcillo,0.551
124.jpg,zarcillo,0.5392
124.jpg,zarcillo,0.5377
124.jpg,zarcillo,0.535
124.jpg,zarcillo,0.5246
124.jpg,zarcillo,0.5223
124.jpg,zarcillo,0.4788
124.jpg,zarcillo,0.4673
124.jpg,zarcillo,0.4506
124.jpg,pinguino adulto,0.4415
124.jpg,zarcillo,0.4058
124.jpg,zarcillo,0.398
124.jpg,zarcillo,0.3952
124.jpg,zarcillo,0.382
124.jpg,zarcillo,0.3676
124.jpg,pinguino adulto,0.3391
124.jpg,zarcillo,0.3333
124.jpg,zarcillo,0.3274
124.jpg,pinguino adulto,0.3077
124.jpg,zarcillo,0.3076
124.jpg,zarcillo,0.2987
124.jpg,zarcillo,0.2666
127.jpg,zarcillo,0.5413
127.jpg,zarcillo,0.5258
127.jpg,pinguino adulto,0.3462
127.jpg,pinguino adulto,0.3401
127.jpg,pinguino adulto,0.3193
127.jpg,pinguino adulto,0.295
127.jpg,zarcillo,0.279
